dataset,time,obs_value,freq,age,sex,indic_il,unit,geo
ilc_di03,1995,7543.0,A,TOTAL,F,MED_E,EUR,IT
ilc_di03,1995,7460.0,A,TOTAL,F,MED_E,NAC,IT
ilc_di03,1995,8808.0,A,TOTAL,F,MED_E,PPS,IT
ilc_di03,1995,8738.0,A,TOTAL,F,MEI_E,EUR,IT
ilc_di03,1995,8643.0,A,TOTAL,F,MEI_E,NAC,IT
ilc_di03,1995,10204.0,A,TOTAL,F,MEI_E,PPS,IT
ilc_di03,1995,7876.0,A,TOTAL,M,MED_E,EUR,IT
ilc_di03,1995,7789.0,A,TOTAL,M,MED_E,NAC,IT
ilc_di03,1995,9196.0,A,TOTAL,M,MED_E,PPS,IT
ilc_di03,1995,9099.0,A,TOTAL,M,MEI_E,EUR,IT
ilc_di03,1995,8999.0,A,TOTAL,M,MEI_E,NAC,IT
ilc_di03,1995,10625.0,A,TOTAL,M,MEI_E,PPS,IT
ilc_di03,1995,7702.0,A,TOTAL,T,MED_E,EUR,IT
ilc_di03,1995,7618.0,A,TOTAL,T,MED_E,NAC,IT
ilc_di03,1995,8994.0,A,TOTAL,T,MED_E,PPS,IT
ilc_di03,1995,8913.0,A,TOTAL,T,MEI_E,EUR,IT
ilc_di03,1995,8815.0,A,TOTAL,T,MEI_E,NAC,IT
ilc_di03,1995,10408.0,A,TOTAL,T,MEI_E,PPS,IT
ilc_di03,1995,6910.0,A,Y11-15,F,MED_E,EUR,IT
ilc_di03,1995,6834.0,A,Y11-15,F,MED_E,NAC,IT
ilc_di03,1995,8069.0,A,Y11-15,F,MED_E,PPS,IT
ilc_di03,1995,7835.0,A,Y11-15,F,MEI_E,EUR,IT
ilc_di03,1995,7749.0,A,Y11-15,F,MEI_E,NAC,IT
ilc_di03,1995,9149.0,A,Y11-15,F,MEI_E,PPS,IT
ilc_di03,1995,6650.0,A,Y11-15,M,MED_E,EUR,IT
ilc_di03,1995,6577.0,A,Y11-15,M,MED_E,NAC,IT
ilc_di03,1995,7766.0,A,Y11-15,M,MED_E,PPS,IT
ilc_di03,1995,7706.0,A,Y11-15,M,MEI_E,EUR,IT
ilc_di03,1995,7622.0,A,Y11-15,M,MEI_E,NAC,IT
ilc_di03,1995,8998.0,A,Y11-15,M,MEI_E,PPS,IT
ilc_di03,1995,6883.0,A,Y11-15,T,MED_E,EUR,IT
ilc_di03,1995,6808.0,A,Y11-15,T,MED_E,NAC,IT
ilc_di03,1995,8038.0,A,Y11-15,T,MED_E,PPS,IT
ilc_di03,1995,7772.0,A,Y11-15,T,MEI_E,EUR,IT
ilc_di03,1995,7686.0,A,Y11-15,T,MEI_E,NAC,IT
ilc_di03,1995,9075.0,A,Y11-15,T,MEI_E,PPS,IT
ilc_di03,1995,6753.0,A,Y16-24,F,MED_E,EUR,IT
ilc_di03,1995,6680.0,A,Y16-24,F,MED_E,NAC,IT
ilc_di03,1995,7886.0,A,Y16-24,F,MED_E,PPS,IT
ilc_di03,1995,7698.0,A,Y16-24,F,MEI_E,EUR,IT
ilc_di03,1995,7614.0,A,Y16-24,F,MEI_E,NAC,IT
ilc_di03,1995,8989.0,A,Y16-24,F,MEI_E,PPS,IT
ilc_di03,1995,6888.0,A,Y16-24,M,MED_E,EUR,IT
ilc_di03,1995,6812.0,A,Y16-24,M,MED_E,NAC,IT
ilc_di03,1995,8043.0,A,Y16-24,M,MED_E,PPS,IT
ilc_di03,1995,7815.0,A,Y16-24,M,MEI_E,EUR,IT
ilc_di03,1995,7729.0,A,Y16-24,M,MEI_E,NAC,IT
ilc_di03,1995,9126.0,A,Y16-24,M,MEI_E,PPS,IT
ilc_di03,1995,6819.0,A,Y16-24,T,MED_E,EUR,IT
ilc_di03,1995,6744.0,A,Y16-24,T,MED_E,NAC,IT
ilc_di03,1995,7963.0,A,Y16-24,T,MED_E,PPS,IT
ilc_di03,1995,7756.0,A,Y16-24,T,MEI_E,EUR,IT
ilc_di03,1995,7671.0,A,Y16-24,T,MEI_E,NAC,IT
ilc_di03,1995,9057.0,A,Y16-24,T,MEI_E,PPS,IT
ilc_di03,1995,7937.0,A,Y16-64,F,MED_E,EUR,IT
ilc_di03,1995,7850.0,A,Y16-64,F,MED_E,NAC,IT
ilc_di03,1995,9268.0,A,Y16-64,F,MED_E,PPS,IT
ilc_di03,1995,9021.0,A,Y16-64,F,MEI_E,EUR,IT
ilc_di03,1995,8922.0,A,Y16-64,F,MEI_E,NAC,IT
ilc_di03,1995,10534.0,A,Y16-64,F,MEI_E,PPS,IT
ilc_di03,1995,8282.0,A,Y16-64,M,MED_E,EUR,IT
ilc_di03,1995,8191.0,A,Y16-64,M,MED_E,NAC,IT
ilc_di03,1995,9671.0,A,Y16-64,M,MED_E,PPS,IT
ilc_di03,1995,9390.0,A,Y16-64,M,MEI_E,EUR,IT
ilc_di03,1995,9288.0,A,Y16-64,M,MEI_E,NAC,IT
ilc_di03,1995,10965.0,A,Y16-64,M,MEI_E,PPS,IT
ilc_di03,1995,8123.0,A,Y16-64,T,MED_E,EUR,IT
ilc_di03,1995,8034.0,A,Y16-64,T,MED_E,NAC,IT
ilc_di03,1995,9485.0,A,Y16-64,T,MED_E,PPS,IT
ilc_di03,1995,9204.0,A,Y16-64,T,MEI_E,EUR,IT
ilc_di03,1995,9103.0,A,Y16-64,T,MEI_E,NAC,IT
ilc_di03,1995,10748.0,A,Y16-64,T,MEI_E,PPS,IT
ilc_di03,1995,8430.0,A,Y25-49,F,MED_E,EUR,IT
ilc_di03,1995,8338.0,A,Y25-49,F,MED_E,NAC,IT
ilc_di03,1995,9844.0,A,Y25-49,F,MED_E,PPS,IT
ilc_di03,1995,9482.0,A,Y25-49,F,MEI_E,EUR,IT
ilc_di03,1995,9378.0,A,Y25-49,F,MEI_E,NAC,IT
ilc_di03,1995,11072.0,A,Y25-49,F,MEI_E,PPS,IT
ilc_di03,1995,8929.0,A,Y25-49,M,MED_E,EUR,IT
ilc_di03,1995,8831.0,A,Y25-49,M,MED_E,NAC,IT
ilc_di03,1995,10427.0,A,Y25-49,M,MED_E,PPS,IT
ilc_di03,1995,9869.0,A,Y25-49,M,MEI_E,EUR,IT
ilc_di03,1995,9761.0,A,Y25-49,M,MEI_E,NAC,IT
ilc_di03,1995,11524.0,A,Y25-49,M,MEI_E,PPS,IT
ilc_di03,1995,8616.0,A,Y25-49,T,MED_E,EUR,IT
ilc_di03,1995,8522.0,A,Y25-49,T,MED_E,NAC,IT
ilc_di03,1995,10061.0,A,Y25-49,T,MED_E,PPS,IT
ilc_di03,1995,9675.0,A,Y25-49,T,MEI_E,EUR,IT
ilc_di03,1995,9569.0,A,Y25-49,T,MEI_E,NAC,IT
ilc_di03,1995,11298.0,A,Y25-49,T,MEI_E,PPS,IT
ilc_di03,1995,8068.0,A,Y50-64,F,MED_E,EUR,IT
ilc_di03,1995,7979.0,A,Y50-64,F,MED_E,NAC,IT
ilc_di03,1995,9421.0,A,Y50-64,F,MED_E,PPS,IT
ilc_di03,1995,9140.0,A,Y50-64,F,MEI_E,EUR,IT
ilc_di03,1995,9040.0,A,Y50-64,F,MEI_E,NAC,IT
ilc_di03,1995,10673.0,A,Y50-64,F,MEI_E,PPS,IT
ilc_di03,1995,8313.0,A,Y50-64,M,MED_E,EUR,IT
ilc_di03,1995,8222.0,A,Y50-64,M,MED_E,NAC,IT
ilc_di03,1995,9707.0,A,Y50-64,M,MED_E,PPS,IT
