dataset,time,obs_value,freq,incgrp,building,deg_urb,unit,geo
ilc_lvho01,2004,15.1,A,A_MD60,FLAT,DEG1,PC,FI
ilc_lvho01,2004,23.9,A,A_MD60,FLAT,DEG1,PC,IT
ilc_lvho01,2004,6.4,A,A_MD60,FLAT,DEG2,PC,FI
ilc_lvho01,2004,11.9,A,A_MD60,FLAT,DEG2,PC,IT
ilc_lvho01,2004,7.2,A,A_MD60,FLAT,DEG3,PC,FI
ilc_lvho01,2004,3.2,A,A_MD60,FLAT,DEG3,PC,IT
ilc_lvho01,2004,28.6,A,A_MD60,FLAT,TOTAL,PC,FI
ilc_lvho01,2004,39.0,A,A_MD60,FLAT,TOTAL,PC,IT
ilc_lvho01,2004,14.3,A,A_MD60,FLAT_GE10,DEG1,PC,FI
ilc_lvho01,2004,15.6,A,A_MD60,FLAT_GE10,DEG1,PC,IT
ilc_lvho01,2004,5.9,A,A_MD60,FLAT_GE10,DEG2,PC,FI
ilc_lvho01,2004,4.7,A,A_MD60,FLAT_GE10,DEG2,PC,IT
ilc_lvho01,2004,6.3,A,A_MD60,FLAT_GE10,DEG3,PC,FI
ilc_lvho01,2004,0.8,A,A_MD60,FLAT_GE10,DEG3,PC,IT
ilc_lvho01,2004,26.5,A,A_MD60,FLAT_GE10,TOTAL,PC,FI
ilc_lvho01,2004,21.1,A,A_MD60,FLAT_GE10,TOTAL,PC,IT
ilc_lvho01,2004,0.8,A,A_MD60,FLAT_LT10,DEG1,PC,FI
ilc_lvho01,2004,8.3,A,A_MD60,FLAT_LT10,DEG1,PC,IT
ilc_lvho01,2004,0.4,A,A_MD60,FLAT_LT10,DEG2,PC,FI
ilc_lvho01,2004,7.2,A,A_MD60,FLAT_LT10,DEG2,PC,IT
ilc_lvho01,2004,0.8,A,A_MD60,FLAT_LT10,DEG3,PC,FI
ilc_lvho01,2004,2.4,A,A_MD60,FLAT_LT10,DEG3,PC,IT
ilc_lvho01,2004,2.1,A,A_MD60,FLAT_LT10,TOTAL,PC,FI
ilc_lvho01,2004,17.9,A,A_MD60,FLAT_LT10,TOTAL,PC,IT
ilc_lvho01,2004,9.5,A,A_MD60,HOUSE,DEG1,PC,FI
ilc_lvho01,2004,10.8,A,A_MD60,HOUSE,DEG1,PC,IT
ilc_lvho01,2004,8.7,A,A_MD60,HOUSE,DEG2,PC,FI
ilc_lvho01,2004,20.2,A,A_MD60,HOUSE,DEG2,PC,IT
ilc_lvho01,2004,41.8,A,A_MD60,HOUSE,DEG3,PC,FI
ilc_lvho01,2004,9.9,A,A_MD60,HOUSE,DEG3,PC,IT
ilc_lvho01,2004,60.0,A,A_MD60,HOUSE,TOTAL,PC,FI
ilc_lvho01,2004,41.0,A,A_MD60,HOUSE,TOTAL,PC,IT
ilc_lvho01,2004,3.8,A,A_MD60,HOUSE_D,DEG1,PC,FI
ilc_lvho01,2004,5.2,A,A_MD60,HOUSE_D,DEG1,PC,IT
ilc_lvho01,2004,5.7,A,A_MD60,HOUSE_D,DEG2,PC,FI
ilc_lvho01,2004,11.5,A,A_MD60,HOUSE_D,DEG2,PC,IT
ilc_lvho01,2004,33.4,A,A_MD60,HOUSE_D,DEG3,PC,FI
ilc_lvho01,2004,6.3,A,A_MD60,HOUSE_D,DEG3,PC,IT
ilc_lvho01,2004,42.8,A,A_MD60,HOUSE_D,TOTAL,PC,FI
ilc_lvho01,2004,23.0,A,A_MD60,HOUSE_D,TOTAL,PC,IT
ilc_lvho01,2004,5.7,A,A_MD60,HOUSE_SD,DEG1,PC,FI
ilc_lvho01,2004,5.6,A,A_MD60,HOUSE_SD,DEG1,PC,IT
ilc_lvho01,2004,3.0,A,A_MD60,HOUSE_SD,DEG2,PC,FI
ilc_lvho01,2004,8.8,A,A_MD60,HOUSE_SD,DEG2,PC,IT
ilc_lvho01,2004,8.4,A,A_MD60,HOUSE_SD,DEG3,PC,FI
ilc_lvho01,2004,3.6,A,A_MD60,HOUSE_SD,DEG3,PC,IT
ilc_lvho01,2004,17.2,A,A_MD60,HOUSE_SD,TOTAL,PC,FI
ilc_lvho01,2004,18.0,A,A_MD60,HOUSE_SD,TOTAL,PC,IT
ilc_lvho01,2004,0.1,A,A_MD60,OTH,DEG1,PC,FI
ilc_lvho01,2004,0.4,A,A_MD60,OTH,DEG1,PC,IT
ilc_lvho01,2004,0.0,A,A_MD60,OTH,DEG2,PC,FI
ilc_lvho01,2004,0.3,A,A_MD60,OTH,DEG2,PC,IT
ilc_lvho01,2004,0.3,A,A_MD60,OTH,DEG3,PC,FI
ilc_lvho01,2004,0.3,A,A_MD60,OTH,DEG3,PC,IT
ilc_lvho01,2004,0.4,A,A_MD60,OTH,TOTAL,PC,FI
ilc_lvho01,2004,1.1,A,A_MD60,OTH,TOTAL,PC,IT
ilc_lvho01,2004,24.6,A,A_MD60,TOTAL,DEG1,PC,FI
ilc_lvho01,2004,35.1,A,A_MD60,TOTAL,DEG1,PC,IT
ilc_lvho01,2004,15.1,A,A_MD60,TOTAL,DEG2,PC,FI
ilc_lvho01,2004,32.5,A,A_MD60,TOTAL,DEG2,PC,IT
ilc_lvho01,2004,49.3,A,A_MD60,TOTAL,DEG3,PC,FI
ilc_lvho01,2004,13.5,A,A_MD60,TOTAL,DEG3,PC,IT
ilc_lvho01,2004,89.0,A,A_MD60,TOTAL,TOTAL,PC,FI
ilc_lvho01,2004,81.1,A,A_MD60,TOTAL,TOTAL,PC,IT
ilc_lvho01,2004,2.1,A,B_MD60,FLAT,DEG1,PC,FI
ilc_lvho01,2004,5.0,A,B_MD60,FLAT,DEG1,PC,IT
ilc_lvho01,2004,1.0,A,B_MD60,FLAT,DEG2,PC,FI
ilc_lvho01,2004,2.4,A,B_MD60,FLAT,DEG2,PC,IT
ilc_lvho01,2004,1.9,A,B_MD60,FLAT,DEG3,PC,FI
ilc_lvho01,2004,0.8,A,B_MD60,FLAT,DEG3,PC,IT
ilc_lvho01,2004,4.9,A,B_MD60,FLAT,TOTAL,PC,FI
ilc_lvho01,2004,8.2,A,B_MD60,FLAT,TOTAL,PC,IT
ilc_lvho01,2004,2.0,A,B_MD60,FLAT_GE10,DEG1,PC,FI
ilc_lvho01,2004,2.8,A,B_MD60,FLAT_GE10,DEG1,PC,IT
ilc_lvho01,2004,1.0,A,B_MD60,FLAT_GE10,DEG2,PC,FI
ilc_lvho01,2004,0.8,A,B_MD60,FLAT_GE10,DEG2,PC,IT
ilc_lvho01,2004,1.6,A,B_MD60,FLAT_GE10,DEG3,PC,FI
ilc_lvho01,2004,0.1,A,B_MD60,FLAT_GE10,DEG3,PC,IT
ilc_lvho01,2004,4.6,A,B_MD60,FLAT_GE10,TOTAL,PC,FI
ilc_lvho01,2004,3.7,A,B_MD60,FLAT_GE10,TOTAL,PC,IT
ilc_lvho01,2004,0.1,A,B_MD60,FLAT_LT10,DEG1,PC,FI
ilc_lvho01,2004,2.3,A,B_MD60,FLAT_LT10,DEG1,PC,IT
ilc_lvho01,2004,0.0,A,B_MD60,FLAT_LT10,DEG2,PC,FI
ilc_lvho01,2004,1.6,A,B_MD60,FLAT_LT10,DEG2,PC,IT
ilc_lvho01,2004,0.2,A,B_MD60,FLAT_LT10,DEG3,PC,FI
ilc_lvho01,2004,0.6,A,B_MD60,FLAT_LT10,DEG3,PC,IT
ilc_lvho01,2004,0.4,A,B_MD60,FLAT_LT10,TOTAL,PC,FI
ilc_lvho01,2004,4.5,A,B_MD60,FLAT_LT10,TOTAL,PC,IT
ilc_lvho01,2004,0.5,A,B_MD60,HOUSE,DEG1,PC,FI
ilc_lvho01,2004,2.4,A,B_MD60,HOUSE,DEG1,PC,IT
ilc_lvho01,2004,0.4,A,B_MD60,HOUSE,DEG2,PC,FI
ilc_lvho01,2004,4.7,A,B_MD60,HOUSE,DEG2,PC,IT
ilc_lvho01,2004,5.0,A,B_MD60,HOUSE,DEG3,PC,FI
ilc_lvho01,2004,3.2,A,B_MD60,HOUSE,DEG3,PC,IT
ilc_lvho01,2004,5.9,A,B_MD60,HOUSE,TOTAL,PC,FI
ilc_lvho01,2004,10.3,A,B_MD60,HOUSE,TOTAL,PC,IT
ilc_lvho01,2004,0.2,A,B_MD60,HOUSE_D,DEG1,PC,FI
ilc_lvho01,2004,1.3,A,B_MD60,HOUSE_D,DEG1,PC,IT
ilc_lvho01,2004,0.2,A,B_MD60,HOUSE_D,DEG2,PC,FI
ilc_lvho01,2004,3.1,A,B_MD60,HOUSE_D,DEG2,PC,IT
ilc_lvho01,2004,3.4,A,B_MD60,HOUSE_D,DEG3,PC,FI
ilc_lvho01,2004,2.1,A,B_MD60,HOUSE_D,DEG3,PC,IT
ilc_lvho01,2004,3.9,A,B_MD60,HOUSE_D,TOTAL,PC,FI
ilc_lvho01,2004,6.5,A,B_MD60,HOUSE_D,TOTAL,PC,IT
ilc_lvho01,2004,0.3,A,B_MD60,HOUSE_SD,DEG1,PC,FI
ilc_lvho01,2004,1.1,A,B_MD60,HOUSE_SD,DEG1,PC,IT
ilc_lvho01,2004,0.2,A,B_MD60,HOUSE_SD,DEG2,PC,FI
ilc_lvho01,2004,1.6,A,B_MD60,HOUSE_SD,DEG2,PC,IT
