dataset,time,obs_value,freq,unit,incgrp,age,sex,geo
ilc_lvho07a,2004,2.2,A,PC,A_MD60,TOTAL,F,FI
ilc_lvho07a,2004,6.9,A,PC,A_MD60,TOTAL,F,IT
ilc_lvho07a,2004,2.0,A,PC,A_MD60,TOTAL,M,FI
ilc_lvho07a,2004,5.8,A,PC,A_MD60,TOTAL,M,IT
ilc_lvho07a,2004,2.1,A,PC,A_MD60,TOTAL,T,FI
ilc_lvho07a,2004,6.3,A,PC,A_MD60,TOTAL,T,IT
ilc_lvho07a,2004,0.8,A,PC,A_MD60,Y12-17,F,FI
ilc_lvho07a,2004,4.2,A,PC,A_MD60,Y12-17,F,IT
ilc_lvho07a,2004,0.6,A,PC,A_MD60,Y12-17,M,FI
ilc_lvho07a,2004,4.1,A,PC,A_MD60,Y12-17,M,IT
ilc_lvho07a,2004,0.7,A,PC,A_MD60,Y12-17,T,FI
ilc_lvho07a,2004,4.2,A,PC,A_MD60,Y12-17,T,IT
ilc_lvho07a,2004,1.3,A,PC,A_MD60,Y15-19,F,FI
ilc_lvho07a,2004,4.2,A,PC,A_MD60,Y15-19,F,IT
ilc_lvho07a,2004,0.9,A,PC,A_MD60,Y15-19,M,FI
ilc_lvho07a,2004,3.3,A,PC,A_MD60,Y15-19,M,IT
ilc_lvho07a,2004,1.1,A,PC,A_MD60,Y15-19,T,FI
ilc_lvho07a,2004,3.7,A,PC,A_MD60,Y15-19,T,IT
ilc_lvho07a,2004,2.7,A,PC,A_MD60,Y15-24,F,FI
ilc_lvho07a,2004,4.0,A,PC,A_MD60,Y15-24,F,IT
ilc_lvho07a,2004,2.1,A,PC,A_MD60,Y15-24,M,FI
ilc_lvho07a,2004,3.6,A,PC,A_MD60,Y15-24,M,IT
ilc_lvho07a,2004,2.4,A,PC,A_MD60,Y15-24,T,FI
ilc_lvho07a,2004,3.8,A,PC,A_MD60,Y15-24,T,IT
ilc_lvho07a,2004,3.3,A,PC,A_MD60,Y15-29,F,FI
ilc_lvho07a,2004,5.2,A,PC,A_MD60,Y15-29,F,IT
ilc_lvho07a,2004,2.7,A,PC,A_MD60,Y15-29,M,FI
ilc_lvho07a,2004,4.9,A,PC,A_MD60,Y15-29,M,IT
ilc_lvho07a,2004,3.0,A,PC,A_MD60,Y15-29,T,FI
ilc_lvho07a,2004,5.0,A,PC,A_MD60,Y15-29,T,IT
ilc_lvho07a,2004,1.4,A,PC,A_MD60,Y16-19,F,FI
ilc_lvho07a,2004,4.0,A,PC,A_MD60,Y16-19,F,IT
ilc_lvho07a,2004,0.5,A,PC,A_MD60,Y16-19,M,FI
ilc_lvho07a,2004,2.8,A,PC,A_MD60,Y16-19,M,IT
ilc_lvho07a,2004,1.0,A,PC,A_MD60,Y16-19,T,FI
ilc_lvho07a,2004,3.4,A,PC,A_MD60,Y16-19,T,IT
ilc_lvho07a,2004,2.9,A,PC,A_MD60,Y16-24,F,FI
ilc_lvho07a,2004,3.9,A,PC,A_MD60,Y16-24,F,IT
ilc_lvho07a,2004,2.1,A,PC,A_MD60,Y16-24,M,FI
ilc_lvho07a,2004,3.4,A,PC,A_MD60,Y16-24,M,IT
ilc_lvho07a,2004,2.5,A,PC,A_MD60,Y16-24,T,FI
ilc_lvho07a,2004,3.6,A,PC,A_MD60,Y16-24,T,IT
ilc_lvho07a,2004,3.5,A,PC,A_MD60,Y16-29,F,FI
ilc_lvho07a,2004,5.2,A,PC,A_MD60,Y16-29,F,IT
ilc_lvho07a,2004,2.8,A,PC,A_MD60,Y16-29,M,FI
ilc_lvho07a,2004,4.9,A,PC,A_MD60,Y16-29,M,IT
ilc_lvho07a,2004,3.1,A,PC,A_MD60,Y16-29,T,FI
ilc_lvho07a,2004,5.0,A,PC,A_MD60,Y16-29,T,IT
ilc_lvho07a,2004,3.4,A,PC,A_MD60,Y18-24,F,FI
ilc_lvho07a,2004,3.9,A,PC,A_MD60,Y18-24,F,IT
ilc_lvho07a,2004,2.8,A,PC,A_MD60,Y18-24,M,FI
ilc_lvho07a,2004,3.4,A,PC,A_MD60,Y18-24,M,IT
ilc_lvho07a,2004,3.1,A,PC,A_MD60,Y18-24,T,FI
ilc_lvho07a,2004,3.7,A,PC,A_MD60,Y18-24,T,IT
ilc_lvho07a,2004,2.4,A,PC,A_MD60,Y18-64,F,FI
ilc_lvho07a,2004,5.8,A,PC,A_MD60,Y18-64,F,IT
ilc_lvho07a,2004,2.3,A,PC,A_MD60,Y18-64,M,FI
ilc_lvho07a,2004,5.5,A,PC,A_MD60,Y18-64,M,IT
ilc_lvho07a,2004,2.4,A,PC,A_MD60,Y18-64,T,FI
ilc_lvho07a,2004,5.7,A,PC,A_MD60,Y18-64,T,IT
ilc_lvho07a,2004,4.1,A,PC,A_MD60,Y20-24,F,FI
ilc_lvho07a,2004,3.8,A,PC,A_MD60,Y20-24,F,IT
ilc_lvho07a,2004,3.4,A,PC,A_MD60,Y20-24,M,FI
ilc_lvho07a,2004,3.9,A,PC,A_MD60,Y20-24,M,IT
ilc_lvho07a,2004,3.8,A,PC,A_MD60,Y20-24,T,FI
ilc_lvho07a,2004,3.8,A,PC,A_MD60,Y20-24,T,IT
ilc_lvho07a,2004,4.3,A,PC,A_MD60,Y20-29,F,FI
ilc_lvho07a,2004,5.5,A,PC,A_MD60,Y20-29,F,IT
ilc_lvho07a,2004,3.7,A,PC,A_MD60,Y20-29,M,FI
ilc_lvho07a,2004,5.5,A,PC,A_MD60,Y20-29,M,IT
ilc_lvho07a,2004,4.0,A,PC,A_MD60,Y20-29,T,FI
ilc_lvho07a,2004,5.5,A,PC,A_MD60,Y20-29,T,IT
ilc_lvho07a,2004,4.5,A,PC,A_MD60,Y25-29,F,FI
ilc_lvho07a,2004,6.8,A,PC,A_MD60,Y25-29,F,IT
ilc_lvho07a,2004,3.8,A,PC,A_MD60,Y25-29,M,FI
ilc_lvho07a,2004,6.7,A,PC,A_MD60,Y25-29,M,IT
ilc_lvho07a,2004,4.2,A,PC,A_MD60,Y25-29,T,FI
ilc_lvho07a,2004,6.8,A,PC,A_MD60,Y25-29,T,IT
ilc_lvho07a,2004,1.5,A,PC,A_MD60,Y6-11,F,FI
ilc_lvho07a,2004,5.4,A,PC,A_MD60,Y6-11,F,IT
ilc_lvho07a,2004,1.3,A,PC,A_MD60,Y6-11,M,FI
ilc_lvho07a,2004,6.1,A,PC,A_MD60,Y6-11,M,IT
ilc_lvho07a,2004,1.4,A,PC,A_MD60,Y6-11,T,FI
ilc_lvho07a,2004,5.8,A,PC,A_MD60,Y6-11,T,IT
ilc_lvho07a,2004,2.4,A,PC,A_MD60,Y_GE65,F,FI
ilc_lvho07a,2004,11.0,A,PC,A_MD60,Y_GE65,F,IT
ilc_lvho07a,2004,2.1,A,PC,A_MD60,Y_GE65,M,FI
ilc_lvho07a,2004,7.0,A,PC,A_MD60,Y_GE65,M,IT
ilc_lvho07a,2004,2.3,A,PC,A_MD60,Y_GE65,T,FI
ilc_lvho07a,2004,9.2,A,PC,A_MD60,Y_GE65,T,IT
ilc_lvho07a,2004,1.5,A,PC,A_MD60,Y_LT18,F,FI
ilc_lvho07a,2004,5.7,A,PC,A_MD60,Y_LT18,F,IT
ilc_lvho07a,2004,1.2,A,PC,A_MD60,Y_LT18,M,FI
ilc_lvho07a,2004,5.6,A,PC,A_MD60,Y_LT18,M,IT
ilc_lvho07a,2004,1.3,A,PC,A_MD60,Y_LT18,T,FI
ilc_lvho07a,2004,5.6,A,PC,A_MD60,Y_LT18,T,IT
ilc_lvho07a,2004,2.2,A,PC,A_MD60,Y_LT6,F,FI
ilc_lvho07a,2004,7.0,A,PC,A_MD60,Y_LT6,F,IT
ilc_lvho07a,2004,1.9,A,PC,A_MD60,Y_LT6,M,FI
ilc_lvho07a,2004,6.4,A,PC,A_MD60,Y_LT6,M,IT
ilc_lvho07a,2004,2.0,A,PC,A_MD60,Y_LT6,T,FI
ilc_lvho07a,2004,6.7,A,PC,A_MD60,Y_LT6,T,IT
ilc_lvho07a,2004,16.9,A,PC,B_MD60,TOTAL,F,FI
ilc_lvho07a,2004,39.2,A,PC,B_MD60,TOTAL,F,IT
ilc_lvho07a,2004,18.2,A,PC,B_MD60,TOTAL,M,FI
ilc_lvho07a,2004,35.4,A,PC,B_MD60,TOTAL,M,IT
ilc_lvho07a,2004,17.5,A,PC,B_MD60,TOTAL,T,FI
ilc_lvho07a,2004,37.5,A,PC,B_MD60,TOTAL,T,IT
ilc_lvho07a,2004,16.6,A,PC,B_MD60,Y12-17,F,FI
ilc_lvho07a,2004,34.5,A,PC,B_MD60,Y12-17,F,IT
ilc_lvho07a,2004,12.5,A,PC,B_MD60,Y12-17,M,FI
ilc_lvho07a,2004,31.0,A,PC,B_MD60,Y12-17,M,IT
ilc_lvho07a,2004,14.7,A,PC,B_MD60,Y12-17,T,FI
ilc_lvho07a,2004,32.7,A,PC,B_MD60,Y12-17,T,IT
ilc_lvho07a,2004,27.9,A,PC,B_MD60,Y15-19,F,FI
ilc_lvho07a,2004,32.6,A,PC,B_MD60,Y15-19,F,IT
ilc_lvho07a,2004,26.9,A,PC,B_MD60,Y15-19,M,FI
ilc_lvho07a,2004,31.3,A,PC,B_MD60,Y15-19,M,IT
ilc_lvho07a,2004,27.4,A,PC,B_MD60,Y15-19,T,FI
ilc_lvho07a,2004,32.0,A,PC,B_MD60,Y15-19,T,IT
ilc_lvho07a,2004,32.7,A,PC,B_MD60,Y15-24,F,FI
ilc_lvho07a,2004,34.2,A,PC,B_MD60,Y15-24,F,IT
ilc_lvho07a,2004,25.1,A,PC,B_MD60,Y15-24,M,FI
ilc_lvho07a,2004,30.0,A,PC,B_MD60,Y15-24,M,IT
ilc_lvho07a,2004,29.2,A,PC,B_MD60,Y15-24,T,FI
ilc_lvho07a,2004,32.2,A,PC,B_MD60,Y15-24,T,IT
ilc_lvho07a,2004,30.2,A,PC,B_MD60,Y15-29,F,FI
ilc_lvho07a,2004,37.3,A,PC,B_MD60,Y15-29,F,IT
ilc_lvho07a,2004,26.6,A,PC,B_MD60,Y15-29,M,FI
ilc_lvho07a,2004,33.5,A,PC,B_MD60,Y15-29,M,IT
ilc_lvho07a,2004,28.4,A,PC,B_MD60,Y15-29,T,FI
ilc_lvho07a,2004,35.4,A,PC,B_MD60,Y15-29,T,IT
ilc_lvho07a,2004,30.9,A,PC,B_MD60,Y16-19,F,FI
ilc_lvho07a,2004,32.3,A,PC,B_MD60,Y16-19,F,IT
ilc_lvho07a,2004,31.4,A,PC,B_MD60,Y16-19,M,FI
ilc_lvho07a,2004,31.3,A,PC,B_MD60,Y16-19,M,IT
ilc_lvho07a,2004,31.1,A,PC,B_MD60,Y16-19,T,FI
ilc_lvho07a,2004,31.8,A,PC,B_MD60,Y16-19,T,IT
ilc_lvho07a,2004,34.2,A,PC,B_MD60,Y16-24,F,FI
ilc_lvho07a,2004,34.2,A,PC,B_MD60,Y16-24,F,IT
ilc_lvho07a,2004,26.4,A,PC,B_MD60,Y16-24,M,FI
ilc_lvho07a,2004,29.8,A,PC,B_MD60,Y16-24,M,IT
ilc_lvho07a,2004,30.6,A,PC,B_MD60,Y16-24,T,FI
ilc_lvho07a,2004,32.1,A,PC,B_MD60,Y16-24,T,IT
ilc_lvho07a,2004,31.2,A,PC,B_MD60,Y16-29,F,FI
