dataset,time,obs_value,freq,nace_r2,age,sex,unit,geo
lfst_r_lfe2en2,2008,2.7,A,A,Y15-24,F,THS_PER,FI
lfst_r_lfe2en2,2008,7.1,A,A,Y15-24,F,THS_PER,IT
lfst_r_lfe2en2,2008,6.5,A,A,Y15-24,M,THS_PER,FI
lfst_r_lfe2en2,2008,32.9,A,A,Y15-24,M,THS_PER,IT
lfst_r_lfe2en2,2008,4.6,A,A,Y15-24,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,9.2,A,A,Y15-24,T,THS_PER,FI
lfst_r_lfe2en2,2008,40.0,A,A,Y15-24,T,THS_PER,IT
lfst_r_lfe2en2,2008,4.8,A,A,Y15-24,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,31.3,A,A,Y15-64,F,THS_PER,FI
lfst_r_lfe2en2,2008,2.8,A,A,Y15-64,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,254.3,A,A,Y15-64,F,THS_PER,IT
lfst_r_lfe2en2,2008,14.9,A,A,Y15-64,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,73.3,A,A,Y15-64,M,THS_PER,FI
lfst_r_lfe2en2,2008,5.3,A,A,Y15-64,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,546.2,A,A,Y15-64,M,THS_PER,IT
lfst_r_lfe2en2,2008,37.6,A,A,Y15-64,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,104.6,A,A,Y15-64,T,THS_PER,FI
lfst_r_lfe2en2,2008,8.1,A,A,Y15-64,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,800.5,A,A,Y15-64,T,THS_PER,IT
lfst_r_lfe2en2,2008,52.4,A,A,Y15-64,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,32.7,A,A,Y15-74,F,THS_PER,FI
lfst_r_lfe2en2,2008,2.9,A,A,Y15-74,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,261.5,A,A,Y15-74,F,THS_PER,IT
lfst_r_lfe2en2,2008,15.5,A,A,Y15-74,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,81.2,A,A,Y15-74,M,THS_PER,FI
lfst_r_lfe2en2,2008,6.1,A,A,Y15-74,M,THS_PER,FI1B
