dataset,time,obs_value,freq,indic_ur,cities
urb_ctran,1989,42866.0,A,TT1064V,PL002C
urb_ctran,1989,93070.0,A,TT1064V,PL003C
urb_ctran,1989,54159.0,A,TT1064V,PL005C
urb_ctran,1989,49779.0,A,TT1064V,PL006C
urb_ctran,1989,19402.0,A,TT1064V,PL007C
urb_ctran,1989,25283.0,A,TT1064V,PL008C
urb_ctran,1989,34706.0,A,TT1064V,PL009C
urb_ctran,1989,94895.0,A,TT1064V,PL010C
urb_ctran,1989,19874.0,A,TT1064V,PL011C
urb_ctran,1989,34880.0,A,TT1064V,PL012C
urb_ctran,1989,17768.0,A,TT1064V,PL013C
urb_ctran,1989,13739.0,A,TT1064V,PL014C
urb_ctran,1989,51312.0,A,TT1064V,PL015C
urb_ctran,1989,31329.0,A,TT1064V,PL016C
urb_ctran,1989,22370.0,A,TT1064V,PL020C
urb_ctran,1989,3272.0,A,TT1064V,PL021C
urb_ctran,1989,17156.0,A,TT1064V,PL022C
urb_ctran,1989,4728.0,A,TT1064V,PL023C
urb_ctran,1989,11892.0,A,TT1065V,PL002C
urb_ctran,1989,5521.0,A,TT1065V,PL003C
urb_ctran,1989,8432.0,A,TT1065V,PL005C
urb_ctran,1989,18922.0,A,TT1065V,PL006C
urb_ctran,1989,2969.0,A,TT1065V,PL007C
urb_ctran,1989,3687.0,A,TT1065V,PL008C
urb_ctran,1989,6538.0,A,TT1065V,PL009C
urb_ctran,1989,17106.0,A,TT1065V,PL010C
urb_ctran,1989,3567.0,A,TT1065V,PL011C
urb_ctran,1989,4894.0,A,TT1065V,PL012C
urb_ctran,1989,3018.0,A,TT1065V,PL013C
urb_ctran,1989,2065.0,A,TT1065V,PL014C
urb_ctran,1989,2803.0,A,TT1065V,PL015C
urb_ctran,1989,3563.0,A,TT1065V,PL016C
urb_ctran,1989,2147.0,A,TT1065V,PL020C
urb_ctran,1989,658.0,A,TT1065V,PL021C
urb_ctran,1989,4754.0,A,TT1065V,PL022C
urb_ctran,1989,13883.0,A,TT1065V,PL023C
urb_ctran,1990,47.92,A,TT1003V,CH
urb_ctran,1990,35.6,A,TT1003V,CH007C
urb_ctran,1990,29.52,A,TT1003V,CH009C
urb_ctran,1990,35.42,A,TT1003V,CH010C
urb_ctran,1990,76.78,A,TT1003V,FR007C
urb_ctran,1990,49.0,A,TT1003V,SE002C
urb_ctran,1990,3.88,A,TT1006V,CH
urb_ctran,1990,4.01,A,TT1006V,CH007C
urb_ctran,1990,2.02,A,TT1006V,CH009C
urb_ctran,1990,5.12,A,TT1006V,CH010C
urb_ctran,1990,3.3,A,TT1006V,FR007C
urb_ctran,1990,7.23,A,TT1007V,CH
urb_ctran,1990,16.09,A,TT1007V,CH007C
urb_ctran,1990,4.84,A,TT1007V,CH009C
urb_ctran,1990,12.16,A,TT1007V,CH010C
urb_ctran,1990,2.73,A,TT1007V,FR007C
urb_ctran,1990,10.51,A,TT1008V,CH
urb_ctran,1990,9.07,A,TT1008V,CH007C
urb_ctran,1990,16.7,A,TT1008V,CH009C
urb_ctran,1990,12.55,A,TT1008V,CH010C
urb_ctran,1990,7.27,A,TT1008V,FR007C
urb_ctran,1990,30.45,A,TT1010V,CH
urb_ctran,1990,35.23,A,TT1010V,CH007C
urb_ctran,1990,46.91,A,TT1010V,CH009C
urb_ctran,1990,34.75,A,TT1010V,CH010C
urb_ctran,1990,9.4,A,TT1010V,FR007C
urb_ctran,1990,51.8,A,TT1012V,CH
urb_ctran,1990,39.61,A,TT1012V,CH007C
urb_ctran,1990,31.55,A,TT1012V,CH009C
urb_ctran,1990,40.54,A,TT1012V,CH010C
urb_ctran,1990,80.08,A,TT1012V,FR007C
urb_ctran,1990,22.0,A,TT1019V,CH
urb_ctran,1990,22.49,A,TT1019V,CH007C
urb_ctran,1990,19.97,A,TT1019V,CH009C
urb_ctran,1990,18.7,A,TT1019V,CH010C
urb_ctran,1990,18.04,A,TT1019V,FR007C
urb_ctran,1990,323.7,A,TT1057I,FR003C
urb_ctran,1990,342.49,A,TT1057I,FR004C
urb_ctran,1990,409.1,A,TT1057I,FR005C
urb_ctran,1990,399.97,A,TT1057I,FR007C
urb_ctran,1990,415.72,A,TT1057I,FR011C
urb_ctran,1990,366.1,A,TT1057I,FR017C
urb_ctran,1990,411.79,A,TT1057I,FR018C
urb_ctran,1990,356.96,A,TT1057I,FR019C
urb_ctran,1990,335.59,A,TT1057I,FR022C
urb_ctran,1990,351.19,A,TT1057I,FR023C
urb_ctran,1990,289.41,A,TT1057I,FR026C
urb_ctran,1990,205.38,A,TT1057I,FR030C
urb_ctran,1990,422.71,A,TT1057I,FR033C
urb_ctran,1990,382.23,A,TT1057I,FR034C
urb_ctran,1990,312.68,A,TT1057I,FR036C
urb_ctran,1990,426.81,A,TT1057I,FR038C
urb_ctran,1990,377.98,A,TT1057I,FR039C
urb_ctran,1990,220.75,A,TT1057I,FR046C
urb_ctran,1990,421.6,A,TT1057I,FR049C
urb_ctran,1990,409.82,A,TT1057I,FR054C
urb_ctran,1990,361.75,A,TT1057I,FR056C
urb_ctran,1990,299.62,A,TT1057I,FR059C
urb_ctran,1990,295.53,A,TT1057I,FR061C
urb_ctran,1990,421.7,A,TT1057I,FR069C
urb_ctran,1990,233.94,A,TT1057I,HU001C
urb_ctran,1990,345500.0,A,TT1057V,FR003C
urb_ctran,1990,331983.0,A,TT1057V,FR004C
urb_ctran,1990,255396.0,A,TT1057V,FR005C
urb_ctran,1990,202017.0,A,TT1057V,FR007C
urb_ctran,1990,146824.0,A,TT1057V,FR011C
urb_ctran,1990,75926.0,A,TT1057V,FR017C
urb_ctran,1990,101237.0,A,TT1057V,FR018C
urb_ctran,1990,91513.0,A,TT1057V,FR019C
urb_ctran,1990,87316.0,A,TT1057V,FR022C
urb_ctran,1990,143929.0,A,TT1057V,FR023C
urb_ctran,1990,72811.0,A,TT1057V,FR026C
urb_ctran,1990,32215.0,A,TT1057V,FR030C
urb_ctran,1990,127714.0,A,TT1057V,FR033C
urb_ctran,1990,79606.0,A,TT1057V,FR034C
urb_ctran,1990,65209.0,A,TT1057V,FR036C
urb_ctran,1990,50949.0,A,TT1057V,FR038C
urb_ctran,1990,61109.0,A,TT1057V,FR039C
urb_ctran,1990,36196.0,A,TT1057V,FR046C
urb_ctran,1990,28712.0,A,TT1057V,FR049C
urb_ctran,1990,51604.0,A,TT1057V,FR054C
urb_ctran,1990,33297.0,A,TT1057V,FR056C
urb_ctran,1990,20743.0,A,TT1057V,FR059C
urb_ctran,1990,28266.0,A,TT1057V,FR061C
urb_ctran,1990,43606.0,A,TT1057V,FR069C
urb_ctran,1990,1944553.0,A,TT1057V,HU
urb_ctran,1990,471799.0,A,TT1057V,HU001C
urb_ctran,1990,23867.0,A,TT1064V,CH007C
urb_ctran,1990,26936.0,A,TT1064V,CH009C
urb_ctran,1990,19374.0,A,TT1064V,CH010C
urb_ctran,1990,76043.0,A,TT1064V,FR003C
urb_ctran,1990,58388.0,A,TT1064V,FR004C
urb_ctran,1990,71757.0,A,TT1064V,FR005C
urb_ctran,1990,40291.0,A,TT1064V,FR007C
urb_ctran,1990,21340.0,A,TT1064V,FR011C
urb_ctran,1990,20778.0,A,TT1064V,FR017C
urb_ctran,1990,24777.0,A,TT1064V,FR018C
urb_ctran,1990,37230.0,A,TT1064V,FR019C
urb_ctran,1990,12718.0,A,TT1064V,FR022C
urb_ctran,1990,21290.0,A,TT1064V,FR023C
urb_ctran,1990,15288.0,A,TT1064V,FR026C
urb_ctran,1990,9324.0,A,TT1064V,FR030C
urb_ctran,1990,32463.0,A,TT1064V,FR033C
urb_ctran,1990,18979.0,A,TT1064V,FR034C
urb_ctran,1990,15343.0,A,TT1064V,FR036C
urb_ctran,1990,17662.0,A,TT1064V,FR038C
urb_ctran,1990,13269.0,A,TT1064V,FR039C
urb_ctran,1990,17775.0,A,TT1064V,FR046C
urb_ctran,1990,4307.0,A,TT1064V,FR049C
urb_ctran,1990,9130.0,A,TT1064V,FR054C
urb_ctran,1990,13294.0,A,TT1064V,FR056C
urb_ctran,1990,14413.0,A,TT1064V,FR059C
urb_ctran,1990,9835.0,A,TT1064V,FR061C
urb_ctran,1990,9858.0,A,TT1064V,FR069C
urb_ctran,1990,196431.0,A,TT1064V,HU001C
urb_ctran,1990,36086.0,A,TT1064V,HU002C
urb_ctran,1990,16420.0,A,TT1064V,HU003C
urb_ctran,1990,16673.0,A,TT1064V,HU004C
urb_ctran,1990,86799.0,A,TT1064V,SE002C
urb_ctran,1990,12813.0,A,TT1065V,CH007C
