category,item,price_eur_padova,price_eur_helsinki,diff_eur,diff_pct,cheaper_in,price_low_padova,price_high_padova,price_low_helsinki,price_high_helsinki,scraped_at
Restaurants,Meal at an Inexpensive Restaurant,18.0,15.0,-3.0,-16.7,Helsinki,12.0,30.0,12.0,20.0,2026-04-14
Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",72.5,90.0,17.5,24.1,Padova,50.0,100.0,50.0,120.0,2026-04-14
Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),12.0,13.0,1.0,8.3,Padova,10.0,12.0,11.0,14.0,2026-04-14
Other,Domestic Draft Beer (1 Pint),6.0,8.0,2.0,33.3,Padova,4.0,6.5,4.0,10.0,2026-04-14
Restaurants,Imported Beer (12 oz Small Bottle),4.0,7.0,3.0,75.0,Padova,3.5,6.0,5.0,10.0,2026-04-14
Restaurants,Imported Beer (12 oz Small Bottle),4.0,3.73,-0.27,-6.8,Helsinki,3.5,6.0,1.8,5.0,2026-04-14
Restaurants,Cappuccino (Regular Size),1.76,4.71,2.95,167.6,Padova,1.2,2.5,3.0,5.0,2026-04-14
Other,"Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",3.0,2.98,-0.02,-0.7,Helsinki,2.5,4.0,2.0,5.0,2026-04-14
Other,Bottled Water (12 oz),1.38,2.45,1.07,77.5,Padova,1.0,2.5,2.0,3.0,2026-04-14
Markets,"Milk (Regular, 1 Liter)",1.42,1.24,-0.18,-12.7,Helsinki,1.0,2.0,0.86,2.0,2026-04-14
Markets,Fresh White Bread (1 lb Loaf),2.12,2.2,0.08,3.8,Padova,1.27,3.18,0.91,4.54,2026-04-14
Markets,White Rice (1 lb),1.23,1.08,-0.15,-12.2,Helsinki,0.91,1.76,0.43,1.59,2026-04-14
Markets,"Eggs (12, Large Size)",3.82,3.4,-0.42,-11.0,Helsinki,2.39,5.0,2.4,4.8,2026-04-14
Markets,Local Cheese (1 lb),6.72,4.13,-2.59,-38.5,Helsinki,4.54,9.07,3.06,11.34,2026-04-14
Markets,Chicken Fillets (1 lb),4.93,5.69,0.76,15.4,Padova,3.36,5.9,3.63,6.8,2026-04-14
