gross_italy,net_annual_italy,net_monthly_italy,fi_gross_nominal_parity,fi_net_at_nominal,nominal_gross_uplift,nominal_gross_uplift_pct,fi_gross_ppp_parity,fi_net_at_ppp,fi_ppp_adj_at_parity,ppp_gross_uplift,ppp_gross_uplift_pct
20000.0,15743.75,1311.98,20585,15743.96,585.0,2.9,25769,19223.41,15743.99,5769.0,28.8
21000.0,16399.63,1366.64,21480,16400.0,480.0,2.3,27060,20023.84,16399.54,6060.0,28.9
22000.0,17055.5,1421.29,22374,17055.3,374.0,1.7,28352,20824.9,17055.61,6352.0,28.9
23000.0,17711.38,1475.95,23330,17711.21,330.0,1.4,29643,21625.33,17711.16,6643.0,28.9
24000.0,18367.26,1530.6,24388,18367.18,388.0,1.6,30936,22427.0,18367.73,6936.0,28.9
25000.0,19023.13,1585.26,25446,19023.15,446.0,1.8,32228,23228.05,19023.79,7228.0,28.9
26000.0,19679.01,1639.92,26504,19679.12,504.0,1.9,33519,24028.48,19679.34,7519.0,28.9
27000.0,20334.88,1694.57,27561,20334.47,561.0,2.1,34865,24828.26,20334.37,7865.0,29.1
28000.0,20990.76,1749.23,28620,20991.06,620.0,2.2,36263,25629.8,20990.83,8263.0,29.5
29000.0,21646.63,1803.89,29677,21646.41,677.0,2.3,37659,26430.19,21646.35,8659.0,29.9
30000.0,22302.51,1858.54,30736,22303.0,736.0,2.5,39057,27231.73,22302.81,9057.0,30.2
31000.0,22940.25,1911.69,31764,22940.37,764.0,2.5,40414,28009.76,22940.02,9414.0,30.4
32000.0,23487.15,1957.26,32646,23487.22,646.0,2.0,41580,28678.29,23487.54,9580.0,29.9
33000.0,24034.06,2002.84,33528,24034.06,528.0,1.6,42743,29345.09,24033.65,9743.0,29.5
34000.0,24580.96,2048.41,34433,24580.57,433.0,1.3,43908,30013.04,24580.7,9908.0,29.1
35000.0,25127.86,2093.99,35387,25127.55,387.0,1.1,45074,30681.56,25128.22,10074.0,28.8
36000.0,25674.77,2139.56,36342,25675.09,342.0,1.0,46237,31348.37,25674.34,10237.0,28.4
37000.0,26221.67,2185.14,37296,26222.07,296.0,0.8,47403,32016.89,26221.86,10403.0,28.1
38000.0,26768.57,2230.71,38248,26767.89,248.0,0.7,48568,32684.84,26768.91,10568.0,27.8
39000.0,27315.48,2276.29,39203,27315.44,203.0,0.5,49731,33351.64,27315.02,10731.0,27.5
40000.0,27862.38,2321.87,40158,27862.99,158.0,0.4,50897,34020.17,27862.55,10897.0,27.2
41000.0,28409.28,2367.44,41111,28409.39,111.0,0.3,52062,34688.12,28409.6,11062.0,27.0
42000.0,28956.19,2413.02,42064,28955.79,64.0,0.2,53226,35355.49,28956.18,11226.0,26.7
43000.0,29503.09,2458.59,43019,29503.33,19.0,0.0,54391,36023.44,29503.23,11391.0,26.5
44000.0,30049.99,2504.17,43972,30049.73,-28.0,-0.1,55555,36690.82,30049.81,11555.0,26.3
45000.0,30596.9,2549.74,44926,30596.71,-74.0,-0.2,56739,37358.37,30596.54,11739.0,26.1
46000.0,31143.8,2595.32,45881,31144.25,-119.0,-0.3,57972,38026.29,31143.56,11972.0,26.0
47000.0,31690.7,2640.89,46834,31690.65,-166.0,-0.4,59205,38694.21,31690.59,12205.0,26.0
