category,index_italy,index_finland,basket_weight_italy_pct,basket_weight_finland_pct,diff_pct
Food & non-alcoholic beverages,100,118,18.7,15.3,18
Alcoholic beverages & tobacco,100,141,3.1,6.4,41
Clothing & footwear,100,88,5.6,4.2,-12
"Housing, water, electricity",100,162,10.4,25.8,62
Furnishings & household,100,107,5.6,4.5,7
Health,100,88,7.5,4.7,-12
Transport,100,108,14.4,11.2,8
Communication,100,90,2.4,2.5,-10
Recreation & culture,100,115,8.5,9.3,15
Education,100,72,1.1,1.2,-28
Restaurants & hotels,100,132,14.2,8.5,32
Miscellaneous goods & services,100,105,8.5,6.4,5
