gross_annual,net_annual_italy,net_annual_finland,net_annual_fi_ppp_adj,net_monthly_italy,net_monthly_finland,net_monthly_fi_ppp_adj,eff_rate_italy_pct,eff_rate_finland_pct
15000.0,12368.56,11405.96,9341.49,1030.71,950.5,778.46,17.54,23.96
15500.0,12718.17,11761.28,9632.5,1059.85,980.11,802.71,17.95,24.12
16000.0,13067.79,12116.61,9923.51,1088.98,1009.72,826.96,18.33,24.27
16500.0,13417.41,12471.93,10214.52,1118.12,1039.33,851.21,18.68,24.41
17000.0,13776.13,12827.26,10505.54,1148.01,1068.94,875.46,18.96,24.55
17500.0,14104.07,13182.58,10796.54,1175.34,1098.55,899.71,19.41,24.67
18000.0,14432.0,13537.91,11087.56,1202.67,1128.16,923.96,19.82,24.79
18500.0,14759.94,13893.23,11378.57,1230.0,1157.77,948.21,20.22,24.9
19000.0,15087.88,14248.56,11669.58,1257.32,1187.38,972.46,20.59,25.01
19500.0,15415.82,14603.88,11960.59,1284.65,1216.99,996.72,20.94,25.11
20000.0,15743.75,14959.21,12251.61,1311.98,1246.6,1020.97,21.28,25.2
20500.0,16071.69,15314.54,12542.62,1339.31,1276.21,1045.22,21.6,25.29
21000.0,16399.63,15669.86,12833.63,1366.64,1305.82,1069.47,21.91,25.38
21500.0,16727.57,16025.19,13124.64,1393.96,1335.43,1093.72,22.2,25.46
22000.0,17055.5,16380.51,13415.65,1421.29,1365.04,1117.97,22.48,25.54
22500.0,17383.44,16735.84,13706.67,1448.62,1394.65,1142.22,22.74,25.62
23000.0,17711.38,17083.62,13991.5,1475.95,1423.64,1165.96,22.99,25.72
23500.0,18039.32,17382.45,14236.24,1503.28,1448.54,1186.35,23.24,26.03
24000.0,18367.26,17681.28,14480.98,1530.6,1473.44,1206.75,23.47,26.33
24500.0,18695.19,17980.11,14725.72,1557.93,1498.34,1227.14,23.69,26.61
25000.0,19023.13,18278.94,14970.47,1585.26,1523.24,1247.54,23.91,26.88
25500.0,19351.07,18577.77,15215.21,1612.59,1548.15,1267.93,24.11,27.15
26000.0,19679.01,18876.6,15459.95,1639.92,1573.05,1288.33,24.31,27.4
26500.0,20006.94,19175.43,15704.69,1667.24,1597.95,1308.72,24.5,27.64
27000.0,20334.88,19474.26,15949.43,1694.57,1622.85,1329.12,24.69,27.87
27500.0,20662.82,19773.09,16194.18,1721.9,1647.76,1349.52,24.86,28.1
28000.0,20990.76,20071.92,16438.92,1749.23,1672.66,1369.91,25.03,28.31
28500.0,21318.69,20370.75,16683.66,1776.56,1697.56,1390.3,25.2,28.52
29000.0,21646.63,20669.58,16928.4,1803.89,1722.46,1410.7,25.36,28.73
29500.0,21974.57,20968.42,17173.15,1831.21,1747.37,1431.1,25.51,28.92
30000.0,22302.51,21267.25,17417.9,1858.54,1772.27,1451.49,25.66,29.11
30500.0,22630.44,21566.08,17662.64,1885.87,1797.17,1471.89,25.8,29.29
31000.0,22940.25,21864.91,17907.38,1911.69,1822.08,1492.28,26.0,29.47
31500.0,23213.7,22163.74,18152.12,1934.48,1846.98,1512.68,26.31,29.64
32000.0,23487.15,22462.57,18396.86,1957.26,1871.88,1533.07,26.6,29.8
32500.0,23760.6,22761.4,18641.61,1980.05,1896.78,1553.47,26.89,29.96
33000.0,24034.06,23060.23,18886.35,2002.84,1921.69,1573.86,27.17,30.12
33500.0,24307.51,23359.06,19131.09,2025.63,1946.59,1594.26,27.44,30.27
34000.0,24580.96,23657.89,19375.83,2048.41,1971.49,1614.65,27.7,30.42
34500.0,24854.41,23939.0,19606.06,2071.2,1994.92,1633.84,27.96,30.61
35000.0,25127.86,24214.5,19831.7,2093.99,2017.88,1652.64,28.21,30.82
35500.0,25401.31,24490.0,20057.33,2116.78,2040.83,1671.44,28.45,31.01
36000.0,25674.77,24765.5,20282.96,2139.56,2063.79,1690.25,28.68,31.21
36500.0,25948.22,25041.0,20508.6,2162.35,2086.75,1709.05,28.91,31.39
37000.0,26221.67,25316.5,20734.23,2185.14,2109.71,1727.85,29.13,31.58
37500.0,26495.12,25592.0,20959.87,2207.93,2132.67,1746.66,29.35,31.75
38000.0,26768.57,25867.5,21185.5,2230.71,2155.62,1765.46,29.56,31.93
38500.0,27042.02,26143.0,21411.14,2253.5,2178.58,1784.26,29.76,32.1
39000.0,27315.48,26418.5,21636.77,2276.29,2201.54,1803.06,29.96,32.26
39500.0,27588.93,26694.0,21862.41,2299.08,2224.5,1821.87,30.15,32.42
40000.0,27862.38,26969.5,22088.04,2321.87,2247.46,1840.67,30.34,32.58
40500.0,28135.83,27245.0,22313.68,2344.65,2270.42,1859.47,30.53,32.73
41000.0,28409.28,27520.5,22539.31,2367.44,2293.38,1878.28,30.71,32.88
41500.0,28682.73,27796.0,22764.95,2390.23,2316.33,1897.08,30.88,33.02
42000.0,28956.19,28071.5,22990.58,2413.02,2339.29,1915.88,31.06,33.16
42500.0,29229.64,28347.0,23216.22,2435.8,2362.25,1934.69,31.22,33.3
43000.0,29503.09,28622.5,23441.85,2458.59,2385.21,1953.49,31.39,33.44
43500.0,29776.54,28898.0,23667.49,2481.38,2408.17,1972.29,31.55,33.57
44000.0,30049.99,29173.5,23893.12,2504.17,2431.12,1991.09,31.7,33.7
44500.0,30323.44,29449.0,24118.76,2526.95,2454.08,2009.9,31.86,33.82
45000.0,30596.9,29724.5,24344.39,2549.74,2477.04,2028.7,32.01,33.95
45500.0,30870.35,30000.0,24570.02,2572.53,2500.0,2047.5,32.15,34.07
46000.0,31143.8,30275.5,24795.66,2595.32,2522.96,2066.3,32.3,34.18
46500.0,31417.25,30551.0,25021.29,2618.1,2545.92,2085.11,32.44,34.3
47000.0,31690.7,30826.5,25246.93,2640.89,2568.88,2103.91,32.57,34.41
47500.0,31964.15,31102.0,25472.56,2663.68,2591.83,2122.71,32.71,34.52
48000.0,32237.6,31377.5,25698.2,2686.47,2614.79,2141.52,32.84,34.63
48500.0,32511.06,31653.0,25923.83,2709.26,2637.75,2160.32,32.97,34.74
49000.0,32784.51,31928.5,26149.47,2732.04,2660.71,2179.12,33.09,34.84
49500.0,33057.96,32204.0,26375.1,2754.83,2683.67,2197.92,33.22,34.94
50000.0,33331.41,32479.5,26600.74,2777.62,2706.62,2216.73,33.34,35.04
50500.0,33604.86,32755.0,26826.37,2800.4,2729.58,2235.53,33.46,35.14
51000.0,33878.31,33030.5,27052.01,2823.19,2752.54,2254.33,33.57,35.23
51500.0,34151.77,33306.0,27277.64,2845.98,2775.5,2273.14,33.69,35.33
52000.0,34425.22,33581.5,27503.28,2868.77,2798.46,2291.94,33.8,35.42
52500.0,34698.67,33857.0,27728.91,2891.56,2821.42,2310.74,33.91,35.51
53000.0,34972.12,34132.5,27954.55,2914.34,2844.38,2329.55,34.01,35.6
53500.0,35245.57,34408.0,28180.18,2937.13,2867.33,2348.35,34.12,35.69
54000.0,35519.02,34683.5,28405.81,2959.92,2890.29,2367.15,34.22,35.77
54500.0,35792.48,34959.0,28631.45,2982.71,2913.25,2385.95,34.33,35.86
55000.0,36065.93,35234.5,28857.08,3005.49,2936.21,2404.76,34.43,35.94
55500.0,36307.41,35510.0,29082.72,3025.62,2959.17,2423.56,34.58,36.02
56000.0,36544.54,35785.5,29308.35,3045.38,2982.12,2442.36,34.74,36.1
56500.0,36781.67,36057.27,29530.93,3065.14,3004.77,2460.91,34.9,36.18
57000.0,37018.8,36316.95,29743.61,3084.9,3026.41,2478.63,35.05,36.29
57500.0,37255.93,36576.62,29956.28,3104.66,3048.05,2496.36,35.21,36.39
